Date,Rs,u2,Tmax,Tmin,RH,pr,ETO
1990-01-01,15.8,0.8,31.0,24.0,85.5,8.6,3.4
1990-01-02,18.5,0.6,30.9,24.0,83.0,25.3,3.8
1990-01-03,9.7,1.0,27.2,24.6,92.1,3.2,2.1
1990-01-04,10.3,0.8,26.9,23.0,91.2,2.2,2.2
1990-01-05,22.8,0.6,31.3,22.9,82.6,19.8,4.5
1990-01-06,19.0,1.7,31.5,24.2,83.6,12.5,4.1
1990-01-07,12.3,0.1,30.2,22.7,89.9,11.0,2.6
1990-01-08,18.3,0.1,30.1,22.2,87.1,16.3,3.6
1990-01-09,14.6,0.2,30.9,25.0,86.9,0.6,3.1
1990-01-10,22.5,0.3,31.9,23.2,83.0,3.5,4.5
1990-01-11,20.8,0.8,31.3,24.4,83.4,0.1,4.3
1990-01-12,16.0,1.1,30.5,24.6,85.9,5.4,3.5
1990-01-13,16.8,1.2,30.7,23.5,85.8,5.6,3.6
1990-01-14,17.3,1.0,31.2,23.7,85.6,4.0,3.7
1990-01-15,15.2,0.1,30.9,24.0,85.2,1.1,3.2
1990-01-16,18.2,0.1,31.8,23.1,87.8,1.2,3.7
1990-01-17,14.3,0.8,30.0,23.2,89.0,20.7,3.0
1990-01-18,16.0,0.4,30.7,23.3,89.4,4.3,3.3
1990-01-19,13.5,0.7,28.9,23.8,92.3,13.8,2.8
1990-01-20,18.3,1.0,30.7,23.6,86.2,12.8,3.8
1990-01-21,22.1,1.4,29.9,24.3,85.2,8.1,4.5
1990-01-22,11.2,0.1,27.9,23.6,90.3,10.6,2.4
1990-01-23,13.4,0.6,27.7,23.2,88.9,24.4,2.8
1990-01-24,17.0,0.8,29.1,23.5,87.9,7.0,3.5
1990-01-25,17.3,1.1,30.7,24.2,87.1,5.2,3.7
1990-01-26,21.4,1.1,30.5,24.6,84.3,2.2,4.4
1990-01-27,23.4,1.0,31.5,23.5,83.8,0.3,4.7
1990-01-28,21.4,1.5,31.7,24.2,83.1,0.5,4.5
1990-01-29,20.4,1.3,31.7,25.0,83.1,0.2,4.4
1990-01-30,23.0,1.1,31.4,24.8,81.9,2.2,4.8
1990-01-31,14.4,1.2,28.7,23.8,88.0,1.0,3.1
1990-02-01,16.0,1.4,30.1,23.8,90.5,9.5,3.3
1990-02-02,12.6,1.0,29.7,24.6,91.3,10.5,2.7
1990-02-03,14.7,0.8,30.9,24.6,90.0,15.2,3.2
1990-02-04,16.1,1.5,29.7,23.6,86.1,7.5,3.5
1990-02-05,11.4,0.9,29.8,24.0,87.3,4.1,2.6
1990-02-06,10.4,0.1,30.1,24.6,90.4,7.8,2.3
1990-02-07,11.4,0.8,28.5,23.6,90.6,8.4,2.5
1990-02-08,12.8,0.3,29.7,23.6,90.6,2.0,2.7
1990-02-09,10.1,0.3,27.1,22.7,91.9,8.0,2.2
1990-02-10,11.4,1.0,28.7,22.7,90.6,5.6,2.5
1990-02-11,17.1,0.6,30.1,23.2,87.4,3.4,3.5
1990-02-12,11.6,0.8,27.1,23.0,89.2,9.6,2.5
1990-02-13,9.8,0.1,28.5,23.2,92.4,2.1,2.2
1990-02-14,12.3,0.1,28.9,23.4,89.2,10.0,2.6
1990-02-15,15.6,0.6,30.6,22.8,90.8,6.9,3.3
1990-02-16,18.9,1.0,30.1,22.6,86.6,28.2,3.9
1990-02-17,11.0,1.4,27.7,22.3,92.9,15.3,2.3
1990-02-18,18.2,0.6,30.2,22.2,88.1,34.1,3.7
1990-02-19,20.3,0.1,32.2,24.0,87.2,2.0,4.2
1990-02-20,18.3,0.1,30.9,23.5,87.8,19.1,3.8
1990-02-21,20.8,1.0,31.7,23.6,85.0,11.8,4.3
1990-02-22,12.9,1.5,30.2,24.4,92.2,3.7,2.8
1990-02-23,10.3,0.0,28.0,24.4,92.2,7.8,2.3
1990-02-24,16.5,1.0,29.7,24.2,85.0,2.4,3.5
1990-02-25,21.2,1.5,30.5,23.5,87.6,3.2,4.3
1990-02-26,15.6,0.1,30.3,23.9,87.9,7.1,3.3
1990-02-27,10.3,0.1,26.9,24.2,93.8,8.4,2.2
1990-02-28,15.7,0.3,30.1,23.6,88.7,8.9,3.3
1990-03-01,19.8,1.0,31.5,23.7,87.1,5.4,4.1
1990-03-02,15.6,0.8,28.9,24.8,89.9,11.8,3.3
1990-03-03,13.3,0.1,28.1,23.0,90.6,11.6,2.8
1990-03-04,15.8,1.0,29.3,23.0,91.8,10.4,3.2
1990-03-05,16.0,0.6,29.5,23.2,89.8,13.4,3.3
1990-03-06,12.4,0.3,27.7,23.5,90.3,42.4,2.6
1990-03-07,17.7,1.4,31.0,23.7,88.7,17.2,3.8
1990-03-08,16.3,1.2,30.9,23.5,87.6,6.7,3.5
1990-03-09,13.9,0.3,30.3,24.1,91.8,3.3,3.0
1990-03-10,11.8,0.6,28.1,23.5,90.1,11.8,2.5
1990-03-11,20.0,0.3,31.2,23.7,89.0,15.3,4.1
1990-03-12,14.2,0.2,29.5,25.0,87.8,6.3,3.0
1990-03-13,12.4,0.1,27.7,24.0,92.1,10.0,2.6
1990-03-14,12.5,0.8,28.1,24.0,89.9,11.5,2.7
1990-03-15,11.8,0.3,26.7,23.2,88.9,9.7,2.5
1990-03-16,11.5,1.0,26.5,23.2,90.7,23.7,2.4
1990-03-17,12.0,0.5,29.7,23.7,92.5,13.0,2.6
1990-03-18,13.4,0.8,29.3,22.3,90.9,33.7,2.8
1990-03-19,11.2,0.0,28.7,23.6,91.9,8.1,2.4
1990-03-20,17.4,0.5,30.9,23.1,88.2,10.5,3.6
1990-03-21,18.0,1.0,31.7,23.7,88.8,6.2,3.8
1990-03-22,23.1,0.8,31.5,23.8,85.0,9.1,4.7
1990-03-23,13.7,1.1,29.5,25.2,88.1,10.2,3.0
1990-03-24,19.1,0.4,30.9,24.3,84.9,2.9,4.0
1990-03-25,22.8,1.0,31.8,24.0,86.1,9.3,4.7
1990-03-26,11.7,0.1,28.3,24.0,89.6,11.0,2.5
1990-03-27,9.5,0.1,25.3,23.8,93.4,16.3,2.1
1990-03-28,11.4,1.0,27.5,23.0,91.4,9.6,2.4
1990-03-29,13.5,0.1,31.0,23.6,89.6,5.9,2.9
1990-03-30,10.8,0.5,26.9,24.6,90.9,17.9,2.3
1990-03-31,15.7,0.3,30.9,24.0,88.6,2.4,3.3
1990-04-01,13.5,0.1,30.6,24.2,90.3,14.6,2.9
1990-04-02,15.3,0.1,29.9,23.6,90.3,14.9,3.2
1990-04-03,14.3,0.3,30.5,24.0,88.1,12.1,3.1
1990-04-04,16.7,0.1,30.3,24.2,86.0,5.0,3.5
1990-04-05,15.0,0.3,30.3,24.0,87.1,14.6,3.2
1990-04-06,20.4,0.8,31.8,23.8,86.9,6.8,4.3
1990-04-07,14.4,1.2,30.3,24.2,90.8,13.8,3.1
1990-04-08,10.5,0.7,26.4,22.5,91.2,23.5,2.2
1990-04-09,16.9,0.1,32.0,24.2,87.4,0.1,3.6
1990-04-10,12.6,0.1,28.5,24.8,90.3,4.7,2.7
1990-04-11,17.2,0.3,32.2,23.5,88.4,19.7,3.6
1990-04-12,13.6,0.1,28.9,24.0,87.8,11.2,2.9
1990-04-13,19.1,0.1,31.8,23.8,87.2,8.1,4.0
1990-04-14,16.5,0.1,30.9,23.5,89.4,9.6,3.4
1990-04-15,12.0,0.7,29.2,23.8,90.5,20.4,2.6
1990-04-16,13.4,0.3,30.2,23.2,89.1,38.9,2.9
1990-04-17,20.1,0.5,32.4,24.6,85.1,4.6,4.2
1990-04-18,10.4,0.4,27.5,23.9,91.2,2.8,2.3
1990-04-19,10.2,0.8,25.7,23.6,92.0,28.4,2.2
1990-04-20,10.7,0.8,28.9,22.9,93.2,6.9,2.3
1990-04-21,15.1,0.4,30.8,23.7,88.8,16.1,3.2
1990-04-22,14.6,0.1,31.0,24.6,89.8,5.6,3.1
1990-04-23,17.4,0.5,30.5,23.7,89.7,12.2,3.6
1990-04-24,12.8,0.5,30.5,24.6,89.1,11.1,2.8
1990-04-25,14.5,0.8,30.2,24.2,89.2,16.5,3.1
1990-04-26,12.7,0.8,28.9,24.0,91.8,7.3,2.7
1990-04-27,17.0,0.1,30.1,24.4,87.6,6.1,3.5
1990-04-28,13.2,0.4,30.1,23.8,91.1,7.2,2.8
1990-04-29,14.2,1.0,30.2,23.4,93.2,19.7,3.0
1990-04-30,19.8,0.5,31.8,24.8,88.4,13.4,4.1
1990-05-01,13.3,0.4,30.5,24.2,90.6,8.9,2.8
1990-05-02,11.7,0.8,29.3,24.2,89.5,10.6,2.6
1990-05-03,18.1,1.1,30.5,23.2,87.1,3.2,3.7
1990-05-04,14.5,0.6,30.7,23.7,90.0,3.1,3.1
1990-05-05,17.2,0.1,30.9,24.0,89.4,5.3,3.5
1990-05-06,12.0,0.3,29.5,24.2,91.8,5.1,2.6
1990-05-07,12.1,0.6,30.0,24.2,93.5,13.5,2.6
1990-05-08,19.8,0.1,32.1,24.2,87.8,11.8,4.1
1990-05-09,18.8,0.8,32.1,24.0,89.2,5.2,3.9
1990-05-10,18.2,0.3,30.9,23.8,87.5,18.5,3.7
1990-05-11,16.1,0.1,31.2,24.2,88.2,2.8,3.4
1990-05-12,21.4,0.6,32.1,24.8,87.4,4.2,4.4
1990-05-13,16.8,0.4,30.3,24.8,88.9,9.1,3.5
1990-05-14,15.7,0.6,30.5,24.2,89.6,27.7,3.3
1990-05-15,17.3,0.4,30.3,24.2,88.5,13.4,3.5
1990-05-16,14.3,0.8,29.1,24.2,90.2,16.3,3.0
1990-05-17,12.1,0.3,30.0,24.2,88.8,26.9,2.6
1990-05-18,9.4,0.1,29.2,24.4,93.9,23.9,2.1
1990-05-19,12.5,0.8,30.1,24.6,90.5,26.2,2.7
1990-05-20,17.2,1.4,30.8,24.2,88.6,4.0,3.6
1990-05-21,19.6,0.4,31.0,24.2,88.1,3.4,4.0
1990-05-22,18.2,0.3,31.2,24.5,88.0,8.1,3.7
1990-05-23,15.1,0.8,29.7,24.5,89.0,21.0,3.2
1990-05-24,18.7,0.9,31.7,24.5,87.9,7.7,3.9
1990-05-25,15.3,0.4,31.3,24.5,89.6,8.8,3.2
1990-05-26,19.2,0.6,31.8,24.0,85.8,9.2,4.0
1990-05-27,17.0,1.1,31.5,24.7,87.0,10.8,3.6
1990-05-28,10.7,0.1,29.3,23.4,88.9,22.3,2.3
1990-05-29,20.3,0.6,31.5,23.5,86.4,19.6,4.1
1990-05-30,10.3,0.1,28.9,23.7,89.8,7.7,2.2
1990-05-31,13.5,0.2,29.1,23.5,89.4,10.3,2.8
1990-06-01,16.5,0.4,31.5,24.0,89.4,4.2,3.4
1990-06-02,14.5,0.3,30.7,24.6,90.0,6.6,3.1
1990-06-03,20.2,0.1,31.5,23.7,86.6,14.3,4.0
1990-06-04,19.8,0.1,32.3,23.8,84.1,1.9,4.0
1990-06-05,16.4,0.1,30.6,24.2,85.5,1.8,3.3
1990-06-06,19.4,1.1,32.1,23.9,81.2,3.7,4.1
1990-06-07,19.5,0.4,32.1,24.0,82.4,0.0,4.0
