Date,Open,High,Low,Close,Volume,AVG
2010-07-16,0.04951,0.04951,0.04951,0.04951,0,0.04951
2010-07-17,0.04951,0.08585,0.05941,0.08584,5,0.0701524999999999
2010-07-18,0.08584,0.09307,0.07723,0.0808,49,0.084235
2010-07-19,0.0808,0.08181,0.07426,0.07474,20,0.0779025
2010-07-20,0.07474,0.07921,0.06634,0.07921,42,0.074875
2010-07-21,0.07921,0.08181,0.0505,0.0505,129,0.065505
2010-07-22,0.0505,0.06767,0.0505,0.06262,141,0.0578225
2010-07-23,0.06262,0.06161,0.05049,0.05454,26,0.057315
2010-07-24,0.05454,0.05941,0.0505,0.0505,85,0.0537375
2010-07-25,0.0505,0.0559999999999999,0.05,0.0559999999999999,46,0.053125
2010-07-26,0.0559999999999999,0.0605,0.053,0.06,196,0.057375
2010-07-27,0.06,0.062,0.054,0.0589,255,0.058725
2010-07-28,0.0589,0.0699,0.0571,0.0699,528,0.06395
2010-07-29,0.0699,0.0698,0.0582,0.0627,198,0.06515
2010-07-30,0.0627,0.0688899999999999,0.0559999999999999,0.06785,243,0.06386
2010-07-31,0.06785,0.065,0.06,0.0611,162,0.0634875
2010-08-01,0.0611,0.0633,0.06,0.06,221,0.0611
2010-08-02,0.06,0.065,0.059,0.06,606,0.061
2010-08-03,0.06,0.06231,0.057,0.057,210,0.0590775
2010-08-04,0.057,0.061,0.0579999999999999,0.061,303,0.05925
2010-08-05,0.061,0.0624,0.0607,0.0623,85,0.0616
2010-08-06,0.0623,0.0622,0.059,0.059,157,0.060625
2010-08-07,0.059,0.061,0.059,0.0609,132,0.059975
2010-08-08,0.0609,0.0735,0.0593,0.071,886,0.066175
2010-08-09,0.071,0.0709,0.06651,0.07,88,0.0696025
2010-08-10,0.07,0.07541,0.06,0.067,1015,0.0681025
2010-08-11,0.067,0.07,0.06141,0.07,134,0.0671025
2010-08-12,0.07,0.068,0.0645,0.0645,233,0.06675
2010-08-13,0.0645,0.0695,0.0645,0.067,295,0.066375
2010-08-14,0.067,0.067,0.065,0.06529,294,0.0660725
2010-08-15,0.06529,0.0679,0.062,0.0655,696,0.0651725
2010-08-16,0.0655,0.0769,0.0624299999999999,0.07,915,0.0687075
2010-08-17,0.07,0.0733,0.067,0.068,203,0.069575
2010-08-18,0.068,0.0679,0.0667,0.0667,50,0.067325
2010-08-19,0.0667,0.0667,0.065,0.0655,276,0.065975
2010-08-20,0.0655,0.0669,0.0644,0.0664,688,0.0658
2010-08-21,0.0664,0.0664,0.0612,0.066,1183,0.065
2010-08-22,0.066,0.0668899999999999,0.063,0.06491,281,0.0652
2010-08-23,0.06491,0.0665,0.06491,0.065,444,0.06533
2010-08-24,0.065,0.0665,0.0641,0.0648,278,0.0650999999999999
2010-08-25,0.0648,0.0658,0.064,0.064,251,0.06465
2010-08-26,0.064,0.065,0.063,0.065,583,0.06425
2010-08-27,0.065,0.065,0.0641,0.0641,399,0.06455
2010-08-28,0.0641,0.0648,0.064,0.064,204,0.064225
2010-08-29,0.064,0.069,0.03211,0.06497,2135,0.05752
2010-08-30,0.06497,0.0649,0.06,0.06,933,0.0624675
2010-08-31,0.06,0.0629,0.05961,0.0629,436,0.0613525
2010-09-01,0.0629,0.0634,0.0601,0.0634,498,0.06245
2010-09-02,0.0634,0.063,0.06085,0.06085,54,0.062025
2010-09-03,0.06085,0.06238,0.0612,0.06238,202,0.0617025
2010-09-04,0.06238,0.064,0.0605,0.0616,527,0.06212
2010-09-05,0.0616,0.0627,0.0616,0.0616,56,0.061875
2010-09-06,0.0616,0.06201,0.0603,0.061,212,0.0612275
2010-09-07,0.061,0.062,0.06099,0.062,143,0.0614975
2010-09-08,0.062,0.0624,0.06109,0.06111,107,0.06165
2010-09-09,0.06111,0.0618,0.06014,0.0618,301,0.0612125
2010-09-10,0.0618,0.065,0.0619,0.06366,491,0.06309
2010-09-11,0.06366,0.0621,0.0615,0.0615,48,0.0621899999999999
2010-09-12,0.0615,0.064,0.0607,0.06219,632,0.0620975
2010-09-13,0.06219,0.175,0.061,0.06199,876,0.0900449999999999
2010-09-14,0.06199,0.0625,0.0604,0.0604,223,0.0613225
2010-09-15,0.0604,0.0619,0.0618,0.0619,45,0.0615
2010-09-16,0.0619,0.0609,0.059,0.059,438,0.0602
2010-09-17,0.059,0.061,0.05761,0.061,427,0.0596525
2010-09-18,0.061,0.0627,0.06,0.0627,797,0.0616
2010-09-19,0.0627,0.0634,0.062,0.0621,891,0.06255
2010-09-20,0.0621,0.0633,0.0623,0.06265,359,0.0625875
2010-09-21,0.06265,0.0624,0.06147,0.0622,717,0.0621799999999999
2010-09-22,0.0622,0.063,0.0615,0.06231,970,0.0622524999999999
2010-09-23,0.06231,0.0624,0.06209,0.0622,42,0.06225
2010-09-24,0.0622,0.0624,0.0617,0.06202,133,0.06208
2010-09-25,0.06202,0.06228,0.06186,0.062,748,0.06204
2010-09-26,0.062,0.06228,0.0619,0.0622,668,0.062095
2010-09-27,0.0622,0.06271,0.0617,0.0619,439,0.0621274999999999
2010-09-28,0.0619,0.062,0.0615,0.06191,1450,0.0618275
2010-09-29,0.06191,0.0619,0.06155,0.0619,488,0.061815
2010-09-30,0.0619,0.062,0.06189,0.06197,106,0.0619399999999999
2010-10-01,0.06197,0.06191,0.06125,0.0614,802,0.0616325
2010-10-02,0.0614,0.0614,0.061,0.06111,439,0.0612275
2010-10-03,0.06111,0.062,0.06081,0.0613,2079,0.061305
2010-10-04,0.0613,0.06301,0.0609,0.0614,1699,0.0616525
2010-10-05,0.0614,0.0635,0.0612,0.06281,2091,0.0622275
2010-10-06,0.06281,0.067,0.0628,0.067,2812,0.0649025
2010-10-07,0.067,0.088,0.01,0.08685,10784,0.0629625
2010-10-08,0.08685,0.12,0.068,0.0938,16104,0.0921625
2010-10-09,0.0938,0.1301,0.0799899999999999,0.0965,4889,0.1000975
2010-10-10,0.0965,0.103,0.091,0.095,1395,0.096375
2010-10-11,0.095,0.099,0.0819999999999999,0.0949,2396,0.092725
2010-10-12,0.0949,0.105,0.092,0.105,4558,0.099225
2010-10-13,0.105,0.1045,0.065,0.102,3701,0.094125
2010-10-14,0.102,0.119,0.092,0.105,2554,0.1044999999999999
2010-10-15,0.105,0.103,0.1,0.1009999999999999,633,0.10225
2010-10-16,0.1009999999999999,0.1045,0.1,0.102,1857,0.101875
2010-10-17,0.102,0.103,0.0969999999999999,0.1024,2591,0.1011
2010-10-18,0.1024,0.1019,0.0969999999999999,0.0969999999999999,623,0.099575
2010-10-19,0.0969999999999999,0.103,0.094,0.099,3221,0.09825
2010-10-20,0.099,0.109,0.0969999999999999,0.107,4616,0.103
2010-10-21,0.107,0.109,0.1015,0.1025,3665,0.105
2010-10-22,0.1025,0.109,0.1045,0.1055,481,0.105375
2010-10-23,0.1055,0.19,0.108,0.115,1560,0.129625
2010-10-24,0.115,0.19,0.09009,0.132,4450,0.1317725
2010-10-25,0.132,0.18,0.133,0.1503,2995,0.148825
2010-10-26,0.1503,0.19,0.151,0.1877,11594,0.1697499999999999
2010-10-27,0.1877,0.191,0.1731,0.1731,4009,0.181225
2010-10-28,0.1731,0.19,0.173,0.19,5380,0.181525
2010-10-29,0.19,0.1989999999999999,0.1875,0.1989,5112,0.19385
2010-10-30,0.1989,0.1989,0.171,0.1925,7829,0.190325
2010-11-01,0.1925,0.1955,0.172,0.1955,4049,0.188875
2010-11-02,0.1955,0.195,0.1905,0.1938,1121,0.1937
2010-11-03,0.1938,0.275,0.125,0.1931,11769,0.196725
2010-11-04,0.1931,0.236,0.1934,0.23,6229,0.213125
2010-11-05,0.23,0.2639,0.2101,0.26,8757,0.241
2010-11-06,0.26,0.5,0.2402,0.39,9396,0.34755
2010-11-07,0.39,0.47,0.286,0.34,27937,0.3715
2010-11-08,0.34,0.37,0.2261,0.243,38339,0.294775
2010-11-09,0.243,0.3229999999999999,0.1989999999999999,0.21,12808,0.24375
2010-11-10,0.21,0.24,0.14,0.24,6110,0.2075
2010-11-11,0.24,0.24,0.21,0.2231,1111,0.228275
2010-11-12,0.2231,0.29,0.223,0.2682,10494,0.251075
2010-11-13,0.2682,0.3,0.2683,0.276,6351,0.278125
2010-11-14,0.276,0.299,0.2702,0.2789999999999999,4793,0.28105
2010-11-15,0.2789999999999999,0.2828,0.2682,0.2682,2337,0.27455
2010-11-16,0.2682,0.275,0.223,0.223,8609,0.2473
2010-11-17,0.223,0.29,0.2116,0.2299,8662,0.238625
2010-11-18,0.2299,0.283,0.2221,0.2678,10253,0.2507
2010-11-19,0.2678,0.28,0.2682,0.28,583,0.2739999999999999
2010-11-20,0.28,0.29,0.2682,0.283,4119,0.2803
2010-11-21,0.283,0.282,0.2763,0.2767,212,0.2795
2010-11-22,0.2767,0.2879,0.2689999999999999,0.2879,7818,0.280375
2010-11-23,0.2879,0.2845,0.276,0.2829,1361,0.282825
2010-11-24,0.2829,0.283,0.2761,0.283,710,0.28125
2010-11-25,0.283,0.2825,0.278,0.28,469,0.280875
2010-11-26,0.28,0.289,0.2761,0.2844,9510,0.282375
2010-11-27,0.2844,0.2844,0.2826,0.283,515,0.2836
2010-11-28,0.283,0.2846,0.27,0.27,5746,0.2769
2010-11-29,0.27,0.2789999999999999,0.2151,0.2299,8802,0.2485
2010-11-30,0.2299,0.2299,0.204,0.2082,4570,0.218
2010-12-01,0.2082,0.2299,0.2095,0.2275,1752,0.218775
2010-12-02,0.2275,0.2553,0.218,0.255,4800,0.23895
2010-12-03,0.255,0.2552,0.243,0.251,633,0.25105
2010-12-04,0.251,0.2589,0.205,0.205,6673,0.229975
2010-12-05,0.205,0.235,0.19,0.19,1178,0.205
2010-12-06,0.19,0.225,0.1841,0.204,863,0.200775
2010-12-07,0.204,0.2477,0.1701,0.233,5411,0.2137
2010-12-08,0.233,0.24,0.22,0.2388,789,0.23295
2010-12-09,0.2388,0.233,0.1701,0.2,4411,0.210475
2010-12-10,0.2,0.204,0.1825,0.204,328,0.197625
2010-12-11,0.204,0.228,0.1907,0.228,1267,0.212675
2010-12-12,0.228,0.2279,0.2068,0.22,418,0.220675
2010-12-13,0.22,0.23,0.21,0.2299,1425,0.222475
2010-12-14,0.2299,0.2468,0.21,0.2467,2403,0.23335
2010-12-15,0.2467,0.246,0.238,0.238,901,0.242175
2010-12-16,0.238,0.255,0.2222,0.25,3522,0.2413
2010-12-17,0.25,0.249,0.24,0.24,130,0.24475
2010-12-18,0.24,0.2488,0.241,0.241,41,0.2427
