Date,open,high,low,close,AVG
2001-01-02,1.5021,1.5021,1.5009,1.5018,1.501725
2001-01-03,1.502,1.5094,1.4882,1.502,1.5004
2001-01-04,1.4887,1.5037,1.4885,1.4886,1.492375
2001-01-05,1.5019,1.5074,1.4952,1.5019,1.5016000000000003
2001-01-07,1.5035,1.5036,1.5032,1.5032,1.5033750000000001
2001-01-08,1.5035,1.5104,1.4931,1.5035,1.502625
2001-01-09,1.4965,1.4968,1.4873,1.4965,1.494275
2001-01-10,1.4884,1.4943,1.4856,1.4884,1.489175
2001-01-11,1.4864,1.5009,1.4862,1.4864,1.489975
2001-01-12,1.4966,1.5027,1.4756,1.4967,1.4929
2001-01-14,1.4783,1.4791,1.478,1.4783,1.4784249999999999
2001-01-15,1.4791,1.48,1.471,1.479,1.4772750000000001
2001-01-16,1.476,1.4786,1.4665,1.476,1.474275
2001-01-17,1.4718,1.4756,1.4688,1.4718,1.472
2001-01-18,1.4737,1.4766,1.4689,1.4737,1.4732249999999998
2001-01-19,1.4724,1.4763,1.463,1.4724,1.471025
2001-01-21,1.4634,1.4639,1.4632,1.4634,1.4634749999999999
2001-01-22,1.4637,1.4664,1.4514,1.4637,1.4613
2001-01-23,1.4655,1.4736,1.4641,1.4652,1.4671
2001-01-24,1.4674,1.4681,1.4524,1.4674,1.463825
2001-01-25,1.4549,1.4627,1.4465,1.4548,1.4547249999999998
2001-01-26,1.4597,1.4686,1.4558,1.4597,1.46095
2001-01-28,1.4611,1.4612,1.4606,1.4611,1.4609999999999999
2001-01-29,1.4606,1.4641,1.456,1.4606,1.460325
2001-01-30,1.4586,1.4633,1.4554,1.4586,1.458975
2001-01-31,1.4621,1.4645,1.4575,1.462,1.461525
2001-02-01,1.4645,1.4826,1.4632,1.4642,1.4686249999999998
2001-02-02,1.4774,1.4831,1.4648,1.4774,1.475675
2001-02-04,1.4686,1.4691,1.468,1.4686,1.468575
2001-02-05,1.469,1.4778,1.4684,1.469,1.47105
2001-02-06,1.474,1.474,1.4572,1.474,1.4698
2001-02-07,1.4596,1.4642,1.4501,1.4596,1.458375
2001-02-08,1.4525,1.4545,1.4416,1.4525,1.450275
2001-02-09,1.4449,1.4496,1.437,1.4449,1.4441000000000002
2001-02-11,1.4451,1.4453,1.4447,1.4449,1.445
2001-02-12,1.4447,1.4552,1.4444,1.4445,1.4472
2001-02-13,1.4531,1.4575,1.4479,1.453,1.452875
2001-02-14,1.4517,1.4609,1.451,1.4517,1.4538250000000001
2001-02-15,1.4548,1.4603,1.4451,1.4548,1.45375
2001-02-16,1.4488,1.4572,1.4464,1.4488,1.4503
2001-02-18,1.4472,1.4474,1.4468,1.4474,1.4472
2001-02-19,1.4468,1.4545,1.4427,1.4468,1.4477000000000002
2001-02-20,1.4473,1.4479,1.4312,1.4473,1.443425
2001-02-21,1.4455,1.4474,1.4376,1.4455,1.444
2001-02-22,1.4428,1.4516,1.439,1.4428,1.44405
2001-02-23,1.4456,1.4555,1.442,1.4456,1.447175
2001-02-25,1.4534,1.4535,1.4529,1.4533,1.453275
2001-02-26,1.453,1.4565,1.4403,1.453,1.4506999999999999
2001-02-27,1.4433,1.4473,1.439,1.4433,1.443225
2001-02-28,1.4438,1.4498,1.4396,1.4438,1.4442499999999998
2001-03-01,1.445,1.4577,1.4445,1.445,1.4480499999999998
2001-03-02,1.4542,1.4757,1.4538,1.4542,1.459475
2001-03-04,1.4694,1.4697,1.4687,1.4694,1.4693
2001-03-05,1.4687,1.4727,1.4659,1.4687,1.4689999999999999
2001-03-06,1.4661,1.4684,1.4634,1.4661,1.466
2001-03-07,1.4666,1.4721,1.4574,1.4667,1.4657
2001-03-08,1.4605,1.47,1.4592,1.4606,1.462575
2001-03-09,1.4695,1.4747,1.4617,1.4695,1.4688500000000002
2001-03-11,1.4664,1.467,1.4663,1.4664,1.4665249999999999
2001-03-12,1.467,1.4695,1.4617,1.467,1.4663
2001-03-13,1.4645,1.4647,1.4474,1.4643,1.4602249999999999
2001-03-14,1.449,1.4572,1.4438,1.449,1.4497499999999999
2001-03-15,1.445,1.4494,1.4341,1.445,1.443375
2001-03-16,1.4353,1.4381,1.4251,1.4356,1.433525
2001-03-18,1.4309,1.4312,1.4309,1.4309,1.430975
2001-03-19,1.4309,1.4336,1.4211,1.4309,1.429125
