,PM2.5,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM
2004-03-10 18:00:00,4.0,4.0,7.0,300.0,77.0,-0.7,1023.0,-18.8,0.0,4.4
2004-03-10 19:00:00,8.0,4.0,7.0,300.0,77.0,-1.1,1023.2,-18.2,0.0,4.7
2004-03-10 20:00:00,7.0,5.0,10.0,300.0,73.0,-1.1,1023.5,-18.2,0.0,5.6
2004-03-10 21:00:00,6.0,11.0,11.0,300.0,72.0,-1.4,1024.5,-19.4,0.0,3.1
2004-03-10 22:00:00,3.0,12.0,12.0,300.0,72.0,-2.0,1025.2,-19.5,0.0,2.0
2004-03-10 23:00:00,5.0,18.0,18.0,400.0,66.0,-2.2,1025.6,-19.6,0.0,3.7
2004-03-11 00:00:00,3.0,18.0,32.0,500.0,50.0,-2.6,1026.5,-19.1,0.0,2.5
2004-03-11 01:00:00,3.0,19.0,41.0,500.0,43.0,-1.6,1027.4,-19.1,0.0,3.8
2004-03-11 02:00:00,3.0,16.0,43.0,500.0,45.0,0.1,1028.3,-19.2,0.0,4.1
2004-03-11 03:00:00,3.0,12.0,28.0,400.0,59.0,1.2,1028.5,-19.3,0.0,2.6
2004-03-11 04:00:00,3.0,9.0,12.0,400.0,72.0,1.9,1028.2,-19.4,0.0,3.6
2004-03-11 05:00:00,3.0,9.0,14.0,400.0,71.0,2.9,1028.2,-20.5,0.0,3.7
2004-03-11 06:00:00,3.0,7.0,13.0,300.0,74.0,3.9,1027.3,-19.7,0.0,5.1
2004-03-11 07:00:00,3.0,7.0,12.0,400.0,76.0,5.3,1026.2,-19.3,0.0,4.3
2004-03-11 08:00:00,6.0,7.0,11.0,400.0,77.0,6.0,1025.9,-19.6,0.0,4.4
2004-03-11 09:00:00,8.0,7.0,14.0,400.0,76.0,6.2,1025.7,-18.6,0.0,2.8
2004-03-11 10:00:00,9.0,9.0,13.0,400.0,76.0,5.9,1025.6,-18.1,0.0,3.9
2004-03-11 11:00:00,10.0,11.0,15.0,400.0,74.0,4.3,1026.3,-18.7,0.0,2.8
2004-03-11 12:00:00,11.0,8.0,20.0,500.0,70.0,3.1,1027.4,-18.4,0.0,2.1
2004-03-11 13:00:00,8.0,12.0,30.0,500.0,60.0,2.3,1028.3,-18.4,0.0,2.8
2004-03-11 14:00:00,11.0,13.0,33.0,600.0,55.0,1.7,1029.1,-17.3,0.0,2.1
2004-03-11 15:00:00,12.0,16.0,35.0,500.0,50.0,0.6,1030.1,-16.7,0.0,0.8
2004-03-11 16:00:00,15.0,21.0,57.0,700.0,32.0,0.9,1030.5,-17.4,0.0,1.8
2004-03-11 17:00:00,24.0,26.0,54.0,600.0,36.0,-0.2,1030.5,-17.4,0.0,1.4
2004-03-11 18:00:00,22.0,24.0,44.0,500.0,44.0,-0.4,1031.0,-17.6,0.0,1.4
2004-03-11 19:00:00,14.0,21.0,36.0,400.0,50.0,-1.0,1031.3,-17.3,0.0,1.1
2004-03-11 20:00:00,13.0,20.0,37.0,400.0,47.0,-1.5,1030.9,-16.9,0.0,1.7
2004-03-11 21:00:00,3.0,13.0,34.0,400.0,52.0,-1.4,1030.6,-17.6,0.0,1.4
2004-03-11 22:00:00,3.0,18.0,43.0,400.0,43.0,-1.5,1030.8,-17.7,0.0,0.9
2004-03-11 23:00:00,9.0,19.0,70.0,500.0,20.0,-1.8,1030.1,-17.5,0.0,2.0
2004-03-12 00:00:00,4.0,28.0,46.0,500.0,39.0,-2.5,1029.6,-17.7,0.0,0.7
2004-03-12 01:00:00,3.0,34.0,58.0,500.0,27.0,-1.7,1029.8,-17.0,0.0,1.2
2004-03-12 02:00:00,3.0,21.0,49.0,500.0,43.0,-0.4,1029.6,-17.6,0.0,1.8
2004-03-12 03:00:00,10.0,47.0,62.0,700.0,29.0,0.6,1029.7,-16.7,0.0,1.7
