iter	Passed	Remaining
0	167	167224
1	185	92578
2	204	68062
3	224	55778
4	243	48359
5	262	43453
6	281	39970
7	298	37030
8	317	34905
9	333	33049
10	350	31555
11	361	29739
12	378	28706
13	397	28027
14	417	27407
15	434	26752
16	452	26161
17	471	25739
18	495	25589
19	516	25323
20	536	25011
21	556	24725
22	573	24340
23	591	24034
24	608	23730
25	629	23593
26	649	23416
27	670	23266
28	690	23130
29	711	22997
30	727	22738
31	746	22576
32	764	22398
33	781	22202
34	801	22110
35	818	21923
36	838	21815
37	855	21646
38	873	21526
39	894	21457
40	913	21356
41	930	21223
42	949	21122
43	965	20979
44	983	20869
45	1000	20748446	1016	20616447	1035	20530448	1055	20477449	1069	20320550	1087	20239551	1104	20143552	1125	20108553	1143	20024554	1161	19948555	1180	19898556	1199	19847557	1220	19820558	1236	19716559	1254	19661660	1272	19583661	1295	19592662	1311	19509663	1330	19459664	1351	19441665	1367	19351666	1389	19342667	1408	19299668	1425	19236669	1442	19168770	1459	19101771	1476	1902772	1498	19030
773	1512	18923774	1532	1890075	1555	18914
76	1574	18870
77	1592	18824
78	1613	18807
79	1632	18773
80	1652	18747
81	1672	18727
82	1691	18688
83	1707	18616
84	1726	18580
85	1748	18580
86	1766	18532
87	1785	18509
88	1803	18465
89	1824	18448
90	1842	18409
91	1862	18385
92	1883	18370
93	1902	18333
94	1920	18298
95	1936	18239
96	1956	18210
97	2016	18562
98	2036	18535
99	2053	18483
100	2074	18468
101	2091	18412
102	2115	18420
103	2136	18402
104	2158	18402
105	2180	18392
106	2208	18427
107	2228	18408
108	2252	18412
109	2273	18391
110	2291	18352
111	2315	18362
112	2334	18327
113	2354	18296
114	2374	18276
115	2400	18290
116	2427	18317
117	2448	18302
118	2469	18282
119	2490	18260
120	2514	18266
121	2536	18254
122	2555	18218
123	2575	18194
124	2597	18179
125	2614	18135
126	2640	18151
127	2660	18125
128	2679	18093
129	2700	18073
130	2721	18052
131	2742	18034
132	2764	18023
133	2792	18046
134	2814	18036
135	2833	18003
136	2856	17990
137	2875	17961
138	2896	17941
139	2918	17925
140	2941	17922
141	2959	17884
142	2980	17859
143	3000	17834
144	3018	17798
145	3039	17776
146	3056	17734
147	3075	17705
148	3095	17679
149	3114	17646
150	3136	17633
151	3156	17611
152	3177	17591
153	3197	17565
154	3217	17540
155	3239	17525
156	3257	17491
157	3279	17475
158	3299	17452
159	3325	17461
160	3347	17444
161	3368	17426
162	3388	17397
163	3406	17365
164	3428	17351
165	3453	17352
166	3474	17330
167	3494	17304
168	3514	17282
169	3535	17260
170	3555	17237
171	3578	17224
172	3598	17201
173	3625	17208
174	3648	17197
175	3666	17166
176	3687	17147
177	3705	17112
178	3727	17098
179	3744	17059
180	3763	17028
181	3785	17015
182	3805	16990
183	3825	16965
184	3847	16948
185	3866	16922
186	3891	16916
187	3909	16884
188	3926	16846
189	3947	16829
190	3968	16810
191	3988	16784
192	4008	16760
193	4031	16750
194	4048	16713
195	4071	16700
196	4096	16698
197	4116	16674
198	4135	16647
199	4155	16621
200	4176	16602
201	4202	16601
202	4226	16592
203	4246	16569
204	4264	16536
205	4285	16516
206	4303	16486
207	4322	16458
208	4344	16443
209	4365	16422
210	4383	16392
211	4407	16382
212	4431	16373
213	4452	16353
214	4474	16336
215	4493	16308
216	4514	16290
217	4534	16266
218	4553	16237
219	4572	16209
220	4592	16188
221	4610	16157
222	4637	16159
223	4657	16135
224	4677	16111
225	4697	16086
226	4722	16080
227	4745	16067
228	4762	16034
229	4781	16008
230	4799	15977
231	4821	15962
232	4839	15930
233	4865	15925
234	4888	15912
235	4910	15896
236	4932	15879
237	4950	15848
238	4971	15829
239	4989	15798
240	5009	15777
241	5033	15765
242	5056	15751
243	5076	15728
244	5099	15714
245	5121	15699
246	5143	15680
247	5162	15655
248	5188	15648
249	5215	15645
250	5235	15622
251	5256	15603
252	5273	15570
253	5296	15555
254	5317	15534
255	5337	15513
256	5359	15493
257	5379	15469
258	5400	15451
259	5420	15426
260	5440	15404
261	5474	15419
262	5492	15390
263	5516	15378
264	5538	15360
265	5557	15335
266	5577	15312
267	5597	15289
268	5617	15265
269	5639	15247
270	5656	15217
271	5674	15187
272	5695	15165
273	5718	15150
274	5735	15119
275	5759	15107
276	5780	15088
277	5799	15062
278	5816	15032
279	5840	15017
280	5859	14994
281	5883	14979
282	5906	14963
283	5926	14940
284	5945	14914
285	5966	14895
286	5986	14872
287	6005	14847
288	6027	14828
289	6045	14801
290	6065	14777
291	6084	14752
292	6112	14748
293	6129	14720
294	6150	14699
295	6170	14676
296	6189	14651
297	6210	14630
298	6229	14604
299	6248	14579
300	6271	14563
301	6291	14540
302	6313	14524
303	6336	14507
304	6354	14481
305	6380	14470
306	6400	14448
307	6429	14444
308	6479	14490
309	6501	14471
310	6522	14449
311	6540	14421
312	6562	14402
313	6582	14381
314	6604	14361
315	6626	14343
316	6648	14324
317	6670	14304
318	6685	14273
319	6706	14250
320	6727	14230
321	6748	14210
322	6771	14192
323	6790	14167
324	6811	14146
325	6831	14124
326	6851	14101
327	6870	14076
328	6893	14058
329	6917	14045
330	6939	14026
331	6961	14007
332	6987	13995
333	7008	13975
334	7033	13961
335	7054	13940
336	7073	13915
337	7094	13895
338	7114	13872
339	7136	13853
340	7157	13832
341	7180	13815
342	7203	13797
343	7223	13775
344	7241	13748
345	7261	13725
346	7283	13706
347	7307	13690
348	7328	13670
349	7350	13650
350	7368	13624
351	7391	13606
352	7410	13582
353	7429	13556
354	7450	13536
355	7468	13510
356	7485	13481
357	7505	13460
358	7527	13439
359	7554	13429
360	7574	13407
361	7594	13385
362	7615	13363
363	7635	13340
364	7655	13317
365	7674	13293
366	7695	13273
367	7715	13250
368	7738	13233
369	7760	13213
370	7780	13190
371	7800	13168
372	7821	13148
373	7842	13126
374	7861	13102
