,name_dataset,name_model,step_ahead,window,time,real,forecast
0,ECONOMICS_1,AutoDCE-TS,0,0,10.125666666666666,12.3275,11.296263457991138
1,ECONOMICS_1,AutoDCE-TS,1,0,10.125666666666666,12.3725,15.114316878992643
2,ECONOMICS_1,AutoDCE-TS,2,0,10.125666666666666,12.45,7.971495588283572
3,ECONOMICS_1,AutoDCE-TS,3,0,10.125666666666666,12.3175,7.8633727594235046
4,ECONOMICS_1,AutoDCE-TS,4,0,10.125666666666666,12.1725,7.299810904573119
5,ECONOMICS_1,AutoDCE-TS,5,0,10.125666666666666,12.265,12.407905670972262
6,ECONOMICS_1,AutoDCE-TS,6,0,10.125666666666666,12.3875,11.824411368335356
7,ECONOMICS_1,AutoDCE-TS,7,0,10.125666666666666,12.5225,10.83070009808796
8,ECONOMICS_1,AutoDCE-TS,8,0,10.125666666666666,12.57,4.94424227321953
9,ECONOMICS_1,AutoDCE-TS,9,0,10.125666666666666,12.5425,12.64623152312774
10,ECONOMICS_1,AutoDCE-TS,10,0,10.125666666666666,12.585,6.751503830820841
11,ECONOMICS_1,AutoDCE-TS,11,0,10.125666666666666,13.052499999999998,8.909432263020715
12,ECONOMICS_1,AutoDCE-TS,12,0,10.125666666666666,13.34,6.1035234429866545
13,ECONOMICS_1,AutoDCE-TS,13,0,10.125666666666666,13.3175,9.09684034432589
14,ECONOMICS_1,AutoDCE-TS,14,0,10.125666666666666,13.3325,9.957707169594125
15,ECONOMICS_1,AutoDCE-TS,15,0,10.125666666666666,13.455,1.830582844781751
16,ECONOMICS_1,AutoDCE-TS,16,0,10.125666666666666,13.34,10.16712872872198
17,ECONOMICS_1,AutoDCE-TS,17,0,10.125666666666666,13.41,2.373385377931827
18,ECONOMICS_1,AutoDCE-TS,18,0,10.125666666666666,13.490000000000002,5.824501298357667
19,ECONOMICS_1,AutoDCE-TS,19,0,10.125666666666666,13.59,3.179843832865571
20,ECONOMICS_1,AutoDCE-TS,20,0,10.125666666666666,13.6675,3.9133610008465345
21,ECONOMICS_1,AutoDCE-TS,21,0,10.125666666666666,13.55,-0.23506844105555302
22,ECONOMICS_1,AutoDCE-TS,22,0,10.125666666666666,13.5425,0.9481034247504598
23,ECONOMICS_1,AutoDCE-TS,23,0,10.125666666666666,13.3975,-2.1107857989578065
24,ECONOMICS_1,AutoDCE-TS,24,0,10.125666666666666,13.1975,5.868828019926652
25,ECONOMICS_1,AutoDCE-TS,25,0,10.125666666666666,13.265,2.041928751882672
26,ECONOMICS_1,AutoDCE-TS,26,0,10.125666666666666,13.425,6.2543779971696
27,ECONOMICS_1,AutoDCE-TS,27,0,10.125666666666666,13.5425,3.675377014766842
28,ECONOMICS_1,AutoDCE-TS,28,0,10.125666666666666,13.51,5.206280021688421
29,ECONOMICS_1,AutoDCE-TS,29,0,10.125666666666666,13.445,4.281064371575838
30,ECONOMICS_1,AutoDCE-TS,0,1,6.775666666666667,28.205,26.513321179094632
31,ECONOMICS_1,AutoDCE-TS,1,1,6.775666666666667,29.48250025,28.093029891360157
32,ECONOMICS_1,AutoDCE-TS,2,1,6.775666666666667,29.67249975,26.94177029884223
33,ECONOMICS_1,AutoDCE-TS,3,1,6.775666666666667,30.24249975,24.982461688369167
34,ECONOMICS_1,AutoDCE-TS,4,1,6.775666666666667,29.685,28.270310354203836
35,ECONOMICS_1,AutoDCE-TS,5,1,6.775666666666667,29.82249975,29.38644521194383
36,ECONOMICS_1,AutoDCE-TS,6,1,6.775666666666667,30.0599995,29.32585907175341
