,name_dataset,name_model,step_ahead,window,time,real,forecast
0,ECONOMICS_1,RF,0,0,0.293,10.54,10.751274987499999
1,ECONOMICS_1,RF,1,0,0.293,10.7125,10.605274999999999
2,ECONOMICS_1,RF,2,0,0.293,10.76,11.145174999999988
3,ECONOMICS_1,RF,3,0,0.293,10.805,11.145150000000001
4,ECONOMICS_1,RF,4,0,0.293,10.96,11.4629750025
5,ECONOMICS_1,RF,5,0,0.293,10.9175,11.407775
6,ECONOMICS_1,RF,6,0,0.293,10.88,11.177099999999994
7,ECONOMICS_1,RF,7,0,0.293,10.855,11.575600000000003
8,ECONOMICS_1,RF,8,0,0.293,10.85,11.208274999999997
9,ECONOMICS_1,RF,9,0,0.293,10.957499999999998,11.21895
10,ECONOMICS_1,RF,10,0,0.293,11.0025,11.488599999999998
11,ECONOMICS_1,RF,11,0,0.293,10.9425,11.839475000000009
12,ECONOMICS_1,RF,12,0,0.293,11.0775,11.630225002500003
13,ECONOMICS_1,RF,13,0,0.293,11.48,11.919574999999998
14,ECONOMICS_1,RF,14,0,0.293,11.715,11.390324999999997
15,ECONOMICS_1,RF,15,0,0.293,11.722499999999998,11.330400002499996
16,ECONOMICS_1,RF,16,0,0.293,11.7225,11.499249999999995
17,ECONOMICS_1,RF,17,0,0.293,11.725,11.991700000000005
18,ECONOMICS_1,RF,18,0,0.293,11.73,11.900575000000009
19,ECONOMICS_1,RF,19,0,0.293,12.0725,11.929500000000008
20,ECONOMICS_1,RF,20,0,0.293,12.3275,11.917900000000001
21,ECONOMICS_1,RF,21,0,0.293,12.3725,12.1852500025
22,ECONOMICS_1,RF,22,0,0.293,12.45,11.997174997500002
23,ECONOMICS_1,RF,23,0,0.293,12.3175,11.478749999999998
24,ECONOMICS_1,RF,24,0,0.293,12.1725,11.723950004999995
25,ECONOMICS_1,RF,25,0,0.293,12.265,12.3342
26,ECONOMICS_1,RF,26,0,0.293,12.3875,11.956649999999998
27,ECONOMICS_1,RF,27,0,0.293,12.5225,12.208399989999993
28,ECONOMICS_1,RF,28,0,0.293,12.57,12.031525000000006
29,ECONOMICS_1,RF,29,0,0.293,12.5425,11.747150000000001
30,ECONOMICS_1,RF,0,1,0.29266666666666663,19.54500025,24.596674837500004
31,ECONOMICS_1,RF,1,1,0.29266666666666663,20.26250025,25.452549845000018
32,ECONOMICS_1,RF,2,1,0.29266666666666663,20.5849995,25.0921498525
33,ECONOMICS_1,RF,3,1,0.29266666666666663,19.65749975,25.274924857500018
34,ECONOMICS_1,RF,4,1,0.29266666666666663,20.13499975,25.48244989750001
35,ECONOMICS_1,RF,5,1,0.29266666666666663,20.4825,25.37124990250001
36,ECONOMICS_1,RF,6,1,0.29266666666666663,20.5050005,24.66494980750001
37,ECONOMICS_1,RF,7,1,0.29266666666666663,20.9275,24.887649852500008
38,ECONOMICS_1,RF,8,1,0.29266666666666663,21.57999975,24.885849865000008
39,ECONOMICS_1,RF,9,1,0.29266666666666663,22.395,24.68419985250001
40,ECONOMICS_1,RF,10,1,0.29266666666666663,23.22,25.028224895000005
41,ECONOMICS_1,RF,11,1,0.29266666666666663,23.6,25.03779986000001
42,ECONOMICS_1,RF,12,1,0.29266666666666663,24.23749975,25.62032483250001
43,ECONOMICS_1,RF,13,1,0.29266666666666663,24.98749975,22.452649775
44,ECONOMICS_1,RF,14,1,0.29266666666666663,24.96500025,25.149699905000002
45,ECONOMICS_1,RF,15,1,0.29266666666666663,25.18499975,25.02322484500001
46,ECONOMICS_1,RF,16,1,0.29266666666666663,26.98249975,25.509174855000015
47,ECONOMICS_1,RF,17,1,0.29266666666666663,27.1574995,25.147774865000002
48,ECONOMICS_1,RF,18,1,0.29266666666666663,26.6074995,25.609374880000004
49,ECONOMICS_1,RF,19,1,0.29266666666666663,26.81750025,25.7686998725
50,ECONOMICS_1,RF,20,1,0.29266666666666663,28.205,25.453424887500006
51,ECONOMICS_1,RF,21,1,0.29266666666666663,29.48250025,25.709099875000014
52,ECONOMICS_1,RF,22,1,0.29266666666666663,29.67249975,25.529549855000006
53,ECONOMICS_1,RF,23,1,0.29266666666666663,30.24249975,25.408199865000007
54,ECONOMICS_1,RF,24,1,0.29266666666666663,29.685,25.190699845000005
55,ECONOMICS_1,RF,25,1,0.29266666666666663,29.82249975,25.240949877500015
56,ECONOMICS_1,RF,26,1,0.29266666666666663,30.0599995,24.45974985
57,ECONOMICS_1,RF,27,1,0.29266666666666663,30.8300005,23.92154978000001
58,ECONOMICS_1,RF,28,1,0.29266666666666663,31.11000025,25.150049872500013
59,ECONOMICS_1,RF,29,1,0.29266666666666663,32.42500025,25.187124885000006
60,ECONOMICS_1,RF,0,2,0.31633333333333336,140.130001,120.30929993750009
61,ECONOMICS_1,RF,1,2,0.31633333333333336,141.03999725,124.02735001250002
62,ECONOMICS_1,RF,2,2,0.31633333333333336,124.91749775,123.33277496000002
63,ECONOMICS_1,RF,3,2,0.31633333333333336,110.16,120.90577506250006
64,ECONOMICS_1,RF,4,2,0.31633333333333336,98.0874995,120.60922497250003
65,ECONOMICS_1,RF,5,2,0.31633333333333336,104.82500075,120.5107751
66,ECONOMICS_1,RF,6,2,0.31633333333333336,113.68250075,119.07465006250004
67,ECONOMICS_1,RF,7,2,0.31633333333333336,114.78500175,122.06017506750003
68,ECONOMICS_1,RF,8,2,0.31633333333333336,108.34249875,123.05479991000001
69,ECONOMICS_1,RF,9,2,0.31633333333333336,112.2699985,121.72359995500007
70,ECONOMICS_1,RF,10,2,0.31633333333333336,112.130001,121.20999994750002
71,ECONOMICS_1,RF,11,2,0.31633333333333336,116.13500025,126.42142485249995
72,ECONOMICS_1,RF,12,2,0.31633333333333336,116.2699985,121.80474985750003
73,ECONOMICS_1,RF,13,2,0.31633333333333336,115.0825005,122.33582502000002
