,Metric,ECONOMICS_1_1,ECONOMICS_1_15,ECONOMICS_1_30,ECONOMICS_2_1,ECONOMICS_2_15,ECONOMICS_2_30,ECONOMICS_3_1,ECONOMICS_3_15,ECONOMICS_3_30,ECONOMICS_4_1,ECONOMICS_4_15,ECONOMICS_4_30,ECONOMICS_5_1,ECONOMICS_5_15,ECONOMICS_5_30
Auto-TSF,NRMSE,0.09,0.47,0.28,0.22,0.25,0.3,0.15,0.29,0.33,0.12,0.12,0.21,0.11,0.12,0.18
Auto-TSF*,NRMSE,0.07,0.33,0.25,0.02,0.03,0.09,0.02,0.05,0.09,0.02,0.07,0.09,0.04,0.07,0.1
PYCARET,NRMSE,0.07,0.35,0.23,0.007,0.04,0.1,0.28,0.32,0.87,0.03,0.08,0.1,0.02,0.06,0.08
FEDOT,NRMSE,0.16,0.28,0.31,0.04,0.05,0.1,0.12,0.14,0.2,0.19,0.24,0.23,0.4,0.45,0.45
AUTOTS,NRMSE,0.09,0.33,0.28,0.03,0.05,0.11,0.23,0.23,0.12,0.06,0.1,0.16,0.11,0.13,0.11
RF,NRMSE,0.11,0.11,0.2,0.03,0.03,0.05,0.05,0.07,0.04,0.13,0.1,0.08,0.11,0.08,0.05
XGBOOST,NRMSE,0.06,0.17,0.28,0.03,0.03,0.06,0.04,0.08,0.04,0.13,0.1,0.08,0.1,0.08,0.05
LIGHTGBM,NRMSE,0.05,0.18,0.25,0.03,0.03,0.06,0.04,0.06,0.04,0.13,0.1,0.08,0.1,0.07,0.06
LSTM,NRMSE,0.4,0.38,0.41,0.69,379.27,0.32,0.41,0.38,0.4,0.3,0.33,0.31,0.64,0.3,0.3
TCN,NRMSE,0.41,0.3,0.3,0.73,0.61,1.1,0.86,0.85,0.86,0.82,0.86,0.83,0.82,0.83,0.82
NBEATS,NRMSE,0.08,0.36,0.22,0.29,0.32,0.29,0.27,0.27,0.2,0.24,0.25,0.23,0.23,0.23,0.22
TFT,NRMSE,0.06,0.33,0.16,0.71,0.03,0.08,0.02,0.06,1.87,0.03,0.08,0.11,0.02,0.06,0.08
