DATASET,AutoDCE-TS,AutoCE-TS,PYCARET,RF,XGBOOST,LIGHTGBM,LSTM,TCN,NBEATS,TFT,iTFM
ENERGY_1_1,0.08,2.14,0.1,0.47,0.52,0.52,0.32,5.92,7.6,0.12,0.05
ENERGY_15,0.37,6.21,0.4,0.45,0.47,0.48,0.44,8.1,12.34,0.55,0.42
ENERGY_30,0.51,2.19,0.43,0.26,0.26,0.26,0.48,10.83,233.96,0.55,0.44
ENERGY_2_1,0.21,0.83,0.27,0.33,0.29,0.3,0.47,0.83,0.83,0.09,0.10
ENERGY_2_15,0.23,0.57,0.58,0.5,0.57,0.56,0.35,0.79,0.79,0.39,0.33
ENERGY_2_30,0.64,0.81,0.41,0.4,0.36,0.35,0.37,0.81,0.81,0.51,0.24
ENERGY_3_1,0.08,0.37,0.22,0.33,0.3,0.29,0.47,0.43,0.42,0.12,0.15
ENERGY_3_15,0.29,4.2,0.44,0.41,0.43,0.43,0.48,0.35,0.33,0.21,0.09
ENERGY_3_30,0.45,0.4,0.51,0.24,0.32,0.32,0.54,0.49,0.48,0.48,0.23
ENERGY_4_1,0.13,0.55,0.11,0.26,0.27,0.27,0.51,0.54,0.54,0.23,0.04
ENERGY_4_15,0.38,3.44,0.36,0.31,0.28,0.31,0.52,0.49,0.48,0.32,0.32
ENERGY_4_30,0.51,0.62,0.43,0.25,0.24,0.25,0.58,0.6,0.59,0.56,0.49
ENERGY_5_1,0.13,1.74,0.07,0.23,0.17,0.2,0.2,2.43,2.58,0.07,0.09
ENERGY_5_15,0.26,1.27,0.42,0.32,0.23,0.23,0.27,1.84,2.71,0.16,0.14
ENERGY_5_30,0.33,2.18,0.13,0.27,0.12,0.12,0.15,6.73,9.91,0.14,0.10
