,Metric,IOT_1_1,IOT_1_15,IOT_1_30,IOT_2_1,IOT_2_15,IOT_2_30,IOT_3_1,IOT_3_15,IOT_3_30,IOT_4_1,IOT_4_15,IOT_4_30,IOT_5_1,IOT_5_15,IOT_5_30
AutoDCE-TS,NRMSE,0.55,0.49,0.37,0.26,0.45,0.3,0.17,0.45,0.34,0.18,0.37,0.33,0.16,0.36,0.38
AutoCE-TS,NRMSE,0.1,0.32,0.65,0.08,0.72,0.58,0.31,0.38,0.34,0.04,246.32,1.54,0.1,0.49,0.51
PYCARET,NRMSE,0.12,0.24,0.23,0.2,0.43,0.3,0.33,0.42,0.35,52.61,36.88,42.13,0.19,0.32,0.47
FEDOT,NRMSE,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**
AUTOTS,NRMSE,*,*,*,*,*,*,*,*,*,0.01,0.2,0.42,*,*,*
RF,NRMSE,0.31,0.5,0.26,0.44,0.36,0.46,0.17,0.18,0.23,0.41,0.39,0.41,0.34,0.57,0.32
XGBOOST,NRMSE,0.29,0.48,0.38,0.45,0.36,0.34,0.17,0.1,0.33,0.4,0.29,0.29,0.31,0.45,0.34
LIGHTGBM,NRMSE,0.32,0.47,0.26,0.46,0.35,0.33,0.12,0.18,0.23,0.41,0.29,0.27,0.32,0.46,0.34
LSTM,NRMSE,0.56,0.54,0.38,0.48,0.53,0.76,0.37,0.36,0.46,0.36,0.36,0.46,1.5,1.5,1.4
TCN,NRMSE,0.38,0.45,0.3,0.03,0.47,0.37,0.41,0.41,0.32,26.57,22.93,24.26,0.47,0.48,0.54
NBEATS,NRMSE,0.22,0.32,0.25,0.12,0.31,0.39,0.41,0.41,0.26,0.05,0.23,0.44,0.13,0.56,1.45
TFT,NRMSE,0.37,0.42,0.36,0.12,0.38,0.3,0.13,0.32,0.27,0.12,0.21,0.37,0.1,0.29,0.43
