Rs,u2,Tmax,Tmin,RH,pr,ETo
15.8,0.8,31.0,24.0,85.5,8.6,3.4
18.5,0.6,30.9,24.0,83.0,25.3,3.8
9.7,1.0,27.2,24.6,92.1,3.2,2.1
10.3,0.8,26.9,23.0,91.2,2.2,2.2
22.8,0.6,31.3,22.9,82.6,19.8,4.5
19.0,1.7,31.5,24.2,83.6,12.5,4.1
12.3,0.1,30.2,22.7,89.9,11.0,2.6
18.3,0.1,30.1,22.2,87.1,16.3,3.6
14.6,0.2,30.9,25.0,86.9,0.6,3.1
22.5,0.3,31.9,23.2,83.0,3.5,4.5
20.8,0.8,31.3,24.4,83.4,0.1,4.3
16.0,1.1,30.5,24.6,85.9,5.4,3.5
16.8,1.2,30.7,23.5,85.8,5.6,3.6
17.3,1.0,31.2,23.7,85.6,4.0,3.7
15.2,0.1,30.9,24.0,85.2,1.1,3.2
18.2,0.1,31.8,23.1,87.8,1.2,3.7
14.3,0.8,30.0,23.2,89.0,20.7,3.0
16.0,0.4,30.7,23.3,89.4,4.3,3.3
13.5,0.7,28.9,23.8,92.3,13.8,2.8
18.3,1.0,30.7,23.6,86.2,12.8,3.8
22.1,1.4,29.9,24.3,85.2,8.1,4.5
11.2,0.1,27.9,23.6,90.3,10.6,2.4
13.4,0.6,27.7,23.2,88.9,24.4,2.8
17.0,0.8,29.1,23.5,87.9,7.0,3.5
17.3,1.1,30.7,24.2,87.1,5.2,3.7
21.4,1.1,30.5,24.6,84.3,2.2,4.4
23.4,1.0,31.5,23.5,83.8,0.3,4.7
21.4,1.5,31.7,24.2,83.1,0.5,4.5
20.4,1.3,31.7,25.0,83.1,0.2,4.4
23.0,1.1,31.4,24.8,81.9,2.2,4.8
14.4,1.2,28.7,23.8,88.0,1.0,3.1
16.0,1.4,30.1,23.8,90.5,9.5,3.3
12.6,1.0,29.7,24.6,91.3,10.5,2.7
14.7,0.8,30.9,24.6,90.0,15.2,3.2
16.1,1.5,29.7,23.6,86.1,7.5,3.5
11.4,0.9,29.8,24.0,87.3,4.1,2.6
10.4,0.1,30.1,24.6,90.4,7.8,2.3
11.4,0.8,28.5,23.6,90.6,8.4,2.5
12.8,0.3,29.7,23.6,90.6,2.0,2.7
10.1,0.3,27.1,22.7,91.9,8.0,2.2
11.4,1.0,28.7,22.7,90.6,5.6,2.5
17.1,0.6,30.1,23.2,87.4,3.4,3.5
11.6,0.8,27.1,23.0,89.2,9.6,2.5
9.8,0.1,28.5,23.2,92.4,2.1,2.2
12.3,0.1,28.9,23.4,89.2,10.0,2.6
15.6,0.6,30.6,22.8,90.8,6.9,3.3
18.9,1.0,30.1,22.6,86.6,28.2,3.9
11.0,1.4,27.7,22.3,92.9,15.3,2.3
18.2,0.6,30.2,22.2,88.1,34.1,3.7
